482525 	0.001 	0.122173 	1138.58 	0.001 	0.402497 	1e+10 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
-1e-15 	0.0001 	0.122173 	770.947 	0.256762 	0.324056 	-0.021138 	
