5.69288 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
11.3858 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
17.0786 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
22.7715 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
28.4644 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
34.1573 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
39.8501 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
45.543 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
51.2359 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
56.9288 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
62.6217 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
68.3145 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
74.0074 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
79.7003 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
85.3932 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
91.086 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
96.7789 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
102.472 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
108.165 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
113.858 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
119.55 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
125.243 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
130.936 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
136.629 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
142.322 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
148.015 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
153.708 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
159.401 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
165.093 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
170.786 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
176.479 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
182.172 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
187.865 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
193.558 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
199.251 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
204.944 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
210.636 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
216.329 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
222.022 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
227.715 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
233.408 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
239.101 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
244.794 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
250.487 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
256.18 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
261.872 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
267.565 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
273.258 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
278.951 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
284.644 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
290.337 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
296.03 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
301.723 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
307.415 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
313.108 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
318.801 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
324.494 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
330.187 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
335.88 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
341.573 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
347.266 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
352.958 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
358.651 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
364.344 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
370.037 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
375.73 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
381.423 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
387.116 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
392.809 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
398.501 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
404.194 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
409.887 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
415.58 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
421.273 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
426.966 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
432.659 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
438.352 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
444.044 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
449.737 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
455.43 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
461.123 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
466.816 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
472.509 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
478.202 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
483.895 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
489.587 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
495.28 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
500.973 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
506.666 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
512.359 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
518.052 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
523.745 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
529.438 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
535.131 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
540.823 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
546.516 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
552.209 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
557.902 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
563.595 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
569.288 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
574.981 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
580.674 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
586.366 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
592.059 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
597.752 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
603.445 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
609.138 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
614.831 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
620.524 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
626.217 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
631.909 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
637.602 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
643.295 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
648.988 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
654.681 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
660.374 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
666.067 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
