5.69288 	260.013 	1.13179e+17 	1.6536e+17 	0 	1.34087e+16 	1.80574e+15 	1 	0 	0 	1 	0.7 	0 	0 	
11.3858 	260.013 	7.92251e+17 	1.15752e+18 	0 	9.38611e+16 	1.26402e+16 	1 	0 	0 	1 	0.7 	0 	0 	
17.0786 	260.013 	2.1504e+18 	3.14183e+18 	0 	2.54766e+17 	3.43091e+16 	1 	0 	0 	1 	0.7 	0 	0 	
22.7715 	260.013 	4.18761e+18 	6.11831e+18 	0 	4.96123e+17 	6.68124e+16 	1 	0 	0 	1 	0.7 	0 	0 	
28.4644 	260.013 	6.9039e+18 	1.00869e+19 	0 	8.17932e+17 	1.1015e+17 	1 	0 	0 	1 	0.7 	0 	0 	
34.1573 	260.013 	1.02993e+19 	1.50477e+19 	0 	1.22019e+18 	1.64322e+17 	1 	0 	0 	1 	0.7 	0 	0 	
39.8501 	260.013 	1.43737e+19 	2.10007e+19 	0 	1.70291e+18 	2.29329e+17 	1 	0 	0 	1 	0.7 	0 	0 	
45.543 	260.013 	1.91272e+19 	2.79458e+19 	0 	2.26607e+18 	3.0517e+17 	1 	0 	0 	1 	0.7 	0 	0 	
51.2359 	260.013 	2.45598e+19 	3.5883e+19 	0 	2.90969e+18 	3.91846e+17 	1 	0 	0 	1 	0.7 	0 	0 	
56.9288 	260.013 	3.06714e+19 	4.48125e+19 	0 	3.63377e+18 	4.89356e+17 	1 	0 	0 	1 	0.7 	0 	0 	
62.6217 	260.013 	3.74622e+19 	5.4734e+19 	0 	4.43829e+18 	5.977e+17 	1 	0 	0 	1 	0.7 	0 	0 	
68.3145 	260.013 	4.4932e+19 	6.56478e+19 	0 	5.32326e+18 	7.16879e+17 	1 	0 	0 	1 	0.7 	0 	0 	
74.0074 	260.013 	5.30808e+19 	7.75537e+19 	0 	6.28869e+18 	8.46892e+17 	1 	0 	0 	1 	0.7 	0 	0 	
79.7003 	260.013 	6.19088e+19 	9.04517e+19 	0 	7.33457e+18 	9.8774e+17 	1 	0 	0 	1 	0.7 	0 	0 	
85.3932 	260.013 	7.14158e+19 	1.04342e+20 	0 	8.46091e+18 	1.13942e+18 	1 	0 	0 	1 	0.7 	0 	0 	
91.086 	260.013 	8.16019e+19 	1.19224e+20 	0 	9.66769e+18 	1.30194e+18 	1 	0 	0 	1 	0.7 	0 	0 	
96.7789 	260.013 	9.2467e+19 	1.35099e+20 	0 	1.09549e+19 	1.47529e+18 	1 	0 	0 	1 	0.7 	0 	0 	
102.472 	260.013 	1.04011e+20 	1.51965e+20 	0 	1.23226e+19 	1.65948e+18 	1 	0 	0 	1 	0.7 	0 	0 	
108.165 	260.013 	1.16235e+20 	1.69824e+20 	0 	1.37708e+19 	1.8545e+18 	1 	0 	0 	1 	0.7 	0 	0 	
113.858 	260.013 	1.29137e+20 	1.88675e+20 	0 	1.52994e+19 	2.06035e+18 	1 	0 	0 	1 	0.7 	0 	0 	
119.55 	260.013 	1.42718e+20 	2.08518e+20 	0 	1.69084e+19 	2.27704e+18 	1 	0 	0 	1 	0.7 	0 	0 	
125.243 	260.013 	1.56979e+20 	2.29354e+20 	0 	1.85979e+19 	2.50456e+18 	1 	0 	0 	1 	0.7 	0 	0 	
130.936 	260.013 	1.71919e+20 	2.51181e+20 	0 	2.03679e+19 	2.74292e+18 	1 	0 	0 	1 	0.7 	0 	0 	
136.629 	260.013 	1.87537e+20 	2.74001e+20 	0 	2.22183e+19 	2.99211e+18 	1 	0 	0 	1 	0.7 	0 	0 	
142.322 	260.013 	2.03835e+20 	2.97813e+20 	0 	2.41491e+19 	3.25214e+18 	1 	0 	0 	1 	0.7 	0 	0 	
148.015 	260.013 	2.20812e+20 	3.22617e+20 	0 	2.61604e+19 	3.523e+18 	1 	0 	0 	1 	0.7 	0 	0 	
153.708 	260.013 	2.38468e+20 	3.48413e+20 	0 	2.82522e+19 	3.8047e+18 	1 	0 	0 	1 	0.7 	0 	0 	
159.401 	260.013 	2.56803e+20 	3.75201e+20 	0 	3.04244e+19 	4.09723e+18 	1 	0 	0 	1 	0.7 	0 	0 	
165.093 	260.013 	2.75817e+20 	4.02981e+20 	0 	3.26771e+19 	4.40059e+18 	1 	0 	0 	1 	0.7 	0 	0 	
170.786 	260.013 	2.9551e+20 	4.31754e+20 	0 	3.50102e+19 	4.71479e+18 	1 	0 	0 	1 	0.7 	0 	0 	
176.479 	260.013 	3.15882e+20 	4.61519e+20 	0 	3.74238e+19 	5.03982e+18 	1 	0 	0 	1 	0.7 	0 	0 	
182.172 	260.013 	3.36933e+20 	4.92276e+20 	0 	3.99178e+19 	5.37569e+18 	1 	0 	0 	1 	0.7 	0 	0 	
187.865 	260.013 	3.58663e+20 	5.24025e+20 	0 	4.24923e+19 	5.72239e+18 	1 	0 	0 	1 	0.7 	0 	0 	
193.558 	260.013 	3.81073e+20 	5.56766e+20 	0 	4.51472e+19 	6.07993e+18 	1 	0 	0 	1 	0.7 	0 	0 	
199.251 	260.013 	4.04161e+20 	5.90499e+20 	0 	4.78826e+19 	6.4483e+18 	1 	0 	0 	1 	0.7 	0 	0 	
204.944 	260.013 	4.27929e+20 	6.25225e+20 	0 	5.06984e+19 	6.82751e+18 	1 	0 	0 	1 	0.7 	0 	0 	
210.636 	260.013 	4.52375e+20 	6.60942e+20 	0 	5.35947e+19 	7.21755e+18 	1 	0 	0 	1 	0.7 	0 	0 	
216.329 	260.013 	4.77501e+20 	6.97652e+20 	0 	5.65714e+19 	7.61842e+18 	1 	0 	0 	1 	0.7 	0 	0 	
222.022 	260.013 	5.03306e+20 	7.35354e+20 	0 	5.96286e+19 	8.03013e+18 	1 	0 	0 	1 	0.7 	0 	0 	
227.715 	260.013 	5.2979e+20 	7.74048e+20 	0 	6.27663e+19 	8.45267e+18 	1 	0 	0 	1 	0.7 	0 	0 	
233.408 	260.013 	5.56953e+20 	8.13735e+20 	0 	6.59843e+19 	8.88605e+18 	1 	0 	0 	1 	0.7 	0 	0 	
239.101 	260.013 	5.84795e+20 	8.54413e+20 	0 	6.92829e+19 	9.33026e+18 	1 	0 	0 	1 	0.7 	0 	0 	
244.794 	260.013 	6.13316e+20 	8.96084e+20 	0 	7.26619e+19 	9.78531e+18 	1 	0 	0 	1 	0.7 	0 	0 	
250.487 	260.013 	6.42516e+20 	9.38747e+20 	0 	7.61213e+19 	1.02512e+19 	1 	0 	0 	1 	0.7 	0 	0 	
256.18 	260.013 	6.72395e+20 	9.82402e+20 	0 	7.96613e+19 	1.07279e+19 	1 	0 	0 	1 	0.7 	0 	0 	
261.872 	260.013 	7.02953e+20 	1.02705e+21 	0 	8.32816e+19 	1.12155e+19 	1 	0 	0 	1 	0.7 	0 	0 	
267.565 	260.013 	7.34191e+20 	1.07269e+21 	0 	8.69824e+19 	1.17138e+19 	1 	0 	0 	1 	0.7 	0 	0 	
